id,MOLA,RMSh,Sub_1_thic,Depth,dist_m,dist_km,xcoord,ycoord
110,-2553,1.493765235,,,54605.16674,54.60516674,156.7260295,9.715052847
111,-2551,1.493765235,,,55251.29297,55.25129297,156.7182168,9.707240178
112,-2548,1.493765235,,,55897.42662,55.89742662,156.7104041,9.69942751
113,-2547,1.493765235,,,56543.5677,56.5435677,156.7025915,9.691614842
114,-2547,1.493765235,,,57189.71619,57.18971619,156.6947788,9.683802174
115,-2547,1.493765235,,,57835.8721,57.8358721,156.6869661,9.675989506
116,-2546,1.529965997,,,58482.0354,58.4820354,156.6791535,9.668176838
117,-2545,1.529965997,,,59128.20611,59.12820611,156.6713408,9.66036417
118,-2543,1.529965997,,,59774.38421,59.77438421,156.6635281,9.652551501
119,-2544,1.529965997,,,60108.85749,60.10885749,156.6557154,9.652551501
120,-2544,1.529965997,,,60755.0468,60.7550468,156.6479028,9.644738833
121,-2544,1.529965997,,,61401.24349,61.40124349,156.6400901,9.636926165
122,-2543,1.529965997,,,62047.44755,62.04744755,156.6322774,9.629113497
123,-2540,1.529965997,,,62693.65898,62.69365898,156.6244648,9.621300829
124,-2540,1.478717327,,,63339.87777,63.33987777,156.6166521,9.613488161
125,-2538,1.478717327,,,63986.10392,63.98610392,156.6088394,9.605675492
126,-2534,1.478717327,,,64632.33741,64.63233741,156.6010268,9.597862824
127,-2532,1.478717327,,,65278.57825,65.27857825,156.5932141,9.590050156
128,-2529,1.545024633,,,65924.82643,65.92482643,156.5854014,9.582237488
129,-2537,1.545024633,,,66571.08193,66.57108193,156.5775888,9.57442482
130,-2548,1.545024633,,,67217.34477,67.21734477,156.5697761,9.566612152
131,-2547,1.545024633,,,67863.61492,67.86361492,156.5619634,9.558799484
132,-2539,1.545024633,,,68509.89239,68.50989239,156.5541508,9.550986815
133,-2541,1.545024633,,,68844.41707,68.84441707,156.5463381,9.550986815
134,-2544,1.545024633,,,69490.70563,69.49070563,156.5385254,9.543174147
135,-2546,1.545024633,,,70137.00149,70.13700149,156.5307128,9.535361479
136,-2542,1.545024633,,,70783.30464,70.78330464,156.5229001,9.527548811
137,-2544,1.353830576,,,71429.61508,71.42961508,156.5150874,9.519736143
138,-2545,1.353830576,,,72075.9328,72.0759328,156.5072748,9.511923475
139,-2549,1.353830576,,,72722.2578,72.7222578,156.4994621,9.504110806
140,-2553,1.353830576,,,73368.59007,73.36859007,156.4916494,9.496298138
141,-2556,1.639930487,,,74014.9296,74.0149296,156.4838367,9.48848547
142,-2556,1.639930487,,,74661.2764,74.6612764,156.4760241,9.480672802
143,-2565,1.639930487,,,75307.63044,75.30763044,156.4682114,9.472860134
144,-2569,1.639930487,,,75953.99174,75.95399174,156.4603987,9.465047466
145,-2566,1.639930487,,,76600.36027,76.60036027,156.4525861,9.457234798
146,-2571,1.639930487,,,77246.73604,77.24673604,156.4447734,9.449422129
147,-2576,1.639930487,,,77581.31158,77.58131158,156.4369607,9.449422129
148,-2579,1.639930487,,,78227.69832,78.22769832,156.4291481,9.441609461
149,-2583,1.639930487,,,78874.09228,78.87409228,156.4213354,9.433796793
150,-2585,1.639930487,,,79520.49346,79.52049346,156.4135227,9.425984125
151,-2586,1.642568588,,,80166.90185,80.16690185,156.4057101,9.418171457
152,-2588,1.642568588,,,80813.31744,80.81331744,156.3978974,9.410358789
153,-2586,1.642568588,,,81459.74023,81.45974023,156.3900847,9.402546121
154,-2586,1.642568588,,,81459.74023,81.45974023,156.3900847,9.402546121
155,-2585,1.697370172,,,82093.12642,82.09312642,156.3822721,9.394733452
156,-2584,1.697370172,,,82469.90656,82.46990656,156.3822721,9.386920784
157,-2586,1.697370172,,,83106.33409,83.10633409,156.3744594,9.379108116
158,-2587,1.697370172,,,83742.76645,83.74276645,156.3666467,9.371295448
159,-2587,1.697370172,,,84379.20363,84.37920363,156.3588341,9.36348278
