id,Elevation,dist_m,dist_km,RMSh,RMSs,pc,pc_pn,pn
206,-2636,119190,119.19,1.703471661,1.003679037,66.95877075,-0.495199978,67.45397186
207,-2636,119584,119.584,1.703471661,1.003679037,66.95877075,-0.495199978,67.45397186
208,-2636,120211,120.211,1.703471661,1.003679037,66.95877075,-0.495199978,67.45397186
209,-2634,120838,120.838,1.703471661,1.003679037,66.95877075,-0.495199978,67.45397186
210,-2634,121232,121.232,1.703471661,1.003679037,66.95877075,-0.495199978,67.45397186
211,-2633,121859,121.859,1.698421836,1.070922852,66.98719788,-0.101999886,67.08920288
212,-2634,122253,122.253,1.698421836,1.070922852,66.98719788,-0.101999886,67.08920288
213,-2635,122880,122.88,1.698421836,1.070922852,66.98719788,-0.101999886,67.08920288
214,-2636,123274,123.274,1.698421836,1.070922852,66.98719788,-0.101999886,67.08920288
215,-2637,123901,123.901,1.698421836,1.070922852,66.98719788,-0.101999886,67.08920288
216,-2638,124528,124.528,1.698421836,1.070922852,66.98719788,-0.101999886,67.08920288
217,-2638,124922,124.922,1.698421836,1.070922852,66.98719788,-0.101999886,67.08920288
218,-2638,125549,125.549,1.698421836,1.070922852,66.98719788,-0.101999886,67.08920288
219,-2637,125943,125.943,1.673218012,1.02661562,67.22537231,-0.04653357,67.27191162
220,-2638,126570,126.57,1.673218012,1.02661562,67.22537231,-0.04653357,67.27191162
221,-2637,127197,127.197,1.673218012,1.02661562,67.22537231,-0.04653357,67.27191162
222,-2638,127591,127.591,1.673218012,1.02661562,67.22537231,-0.04653357,67.27191162
223,-2640,128218,128.218,1.673218012,1.02661562,67.22537231,-0.04653357,67.27191162
224,-2640,128612,128.612,1.673218012,1.02661562,67.22537231,-0.04653357,67.27191162
225,-2641,129239,129.239,1.673218012,1.02661562,67.22537231,-0.04653357,67.27191162
226,-2641,129866,129.866,1.673218012,1.02661562,67.22537231,-0.04653357,67.27191162
227,-2641,130260,130.26,1.673218012,1.02661562,67.22537231,-0.04653357,67.27191162
228,-2641,130887,130.887,1.673218012,1.02661562,67.22537231,-0.04653357,67.27191162
229,-2642,131281,131.281,1.673218012,1.02661562,67.22537231,-0.04653357,67.27191162
230,-2642,131908,131.908,1.673218012,1.02661562,67.22537231,-0.04653357,67.27191162
231,-2641,132536,132.536,1.673218012,1.02661562,67.22537231,-0.04653357,67.27191162
232,-2642,132930,132.93,1.673218012,1.02661562,67.22537231,-0.04653357,67.27191162
233,-2642,133557,133.557,1.673218012,1.02661562,67.22537231,-0.04653357,67.27191162
234,-2643,133951,133.951,1.602874041,0.908126473,67.92694855,0.017377786,67.90956879
235,-2644,134578,134.578,1.602874041,0.908126473,67.92694855,0.017377786,67.90956879
