Source_X,Source_Y,Sub 1 Thickness,Destination_Latitude,Destination_Longitude
196127.6,358419.7,29.255,6.1081997,162.3257998
196059.6,358918.1,29.141,6.1166994,162.3247002
196003.8,359346.2,28.577,6.1239999,162.3238000
195948.0,359774.3,29.436,6.1313005,162.3228998
195885.9,360272.7,28.910,6.1397996,162.3219002
195830.1,360706.7,27.648,6.1472006,162.3210007
195767.9,361205.1,25.398,6.1556998,162.3199996
195712.1,361633.2,25.324,6.1630003,162.3190995
195656.3,362061.3,25.301,6.1703009,162.3181994
195588.3,362559.7,26.086,6.1788007,162.3171001
195532.5,362987.7,25.189,6.1860996,162.3162001
195476.7,363415.8,25.730,6.1934002,162.3153001
195414.5,363920.1,25.417,6.2019999,162.3142998
195358.7,364348.2,25.507,6.2093006,162.3133999
195302.9,364776.2,26.735,6.2165995,162.3125000
195240.8,365274.7,25.968,6.2251004,162.3115009
194297.6,372563.4,34.581,6.3493995,162.2963002
194241.8,372991.5,35.675,6.3567003,162.2954008
194185.9,373419.5,34.285,6.3639994,162.2944998
194117.8,373917.9,40.234,6.3724995,162.2933996
194062.0,374346.0,38.926,6.3798003,162.2925003
193999.8,374844.4,39.932,6.3882997,162.2915002
193943.9,375272.5,42.459,6.3956006,162.2905993
193888.1,375706.4,41.325,6.4030003,162.2897008
193820.0,376204.8,43.979,6.4115004,162.2886008
193770.0,376632.9,42.203,6.4188006,162.2877999
193714.2,377060.9,39.518,6.4260998,162.2869008
193646.0,377559.3,39.863,6.4345999,162.2857992
193590.2,377987.3,42.830,6.4418991,162.2849001
193534.3,378415.4,45.186,6.4492000,162.2839994
193472.1,378919.7,43.042,6.4578001,162.2830003
193416.2,379347.8,42.597,6.4651010,162.2820996
193348.1,379846.1,41.648,6.4735995,162.2809999
193292.3,380274.2,48.353,6.4809004,162.2801009
193242.3,380702.3,45.711,6.4882008,162.2793004
193174.2,381200.7,43.679,6.4967010,162.2782007
193118.3,381634.6,44.515,6.5041008,162.2773008
193062.4,382062.6,44.226,6.5114001,162.2764003
193000.2,382561.0,44.260,6.5198997,162.2754008
192944.3,382989.1,40.670,6.5272007,162.2745004
192876.2,383487.4,47.288,6.5356992,162.2734009
192820.3,383915.5,45.305,6.5430002,162.2725005
192764.4,384343.5,44.652,6.5502996,162.2716001
192702.1,384847.8,43.698,6.5588998,162.2705997
192646.2,385275.8,45.283,6.5661991,162.2696994
192590.4,385703.9,46.204,6.5735001,162.2688008
192528.1,386202.3,44.856,6.5819998,162.2677998
192472.2,386630.3,41.926,6.5892992,162.2668996
192416.3,387058.4,43.058,6.5966003,162.2659994
192348.2,387556.8,43.637,6.6051006,162.2649002
192292.3,387984.8,40.767,6.6124000,162.2640000
192230.0,388489.1,41.905,6.6210003,162.2629999
192174.1,388917.1,39.600,6.6282997,162.2620998
192118.2,389345.2,40.147,6.6356008,162.2611997
192056.0,389843.6,38.696,6.6441006,162.2602007
192000.1,390271.6,38.886,6.6514000,162.2593007
191944.2,390699.6,36.372,6.6586994,162.2584007
191876.0,391203.9,37.891,6.6673004,162.2573007
191820.1,391631.9,36.758,6.6745999,162.2564007
191764.2,392059.9,35.934,6.6818994,162.2555008
191701.9,392558.3,36.997,6.6903992,162.2545003
191646.0,392986.4,37.091,6.6977004,162.2536004
191577.8,393484.8,37.563,6.7062009,162.2524999
191521.9,393912.8,37.348,6.7135004,162.2516001
191466.0,394340.8,36.877,6.7207999,162.2507003
191403.7,394845.1,40.874,6.7294003,162.2497006
191347.8,395273.1,40.976,6.7366998,162.2488009
191291.8,395701.1,38.425,6.7439994,162.2478995
191229.5,396199.5,40.268,6.7524993,162.2468992
191173.6,396627.6,39.889,6.7598005,162.2459996
191105.4,397125.9,38.471,6.7682994,162.2448993
191049.5,397554.0,38.289,6.7756007,162.2439997
190993.5,397987.8,39.338,6.7829991,162.2430991
190931.3,398486.3,41.138,6.7915007,162.2421007
190875.3,398914.3,41.574,6.7988003,162.2411995
190819.4,399342.3,40.846,6.8060999,162.2403000
190757.1,399840.7,41.206,6.8145999,162.2393000
190701.2,400268.7,40.968,6.8218995,162.2384005
190645.2,400696.8,41.411,6.8292008,162.2374994
190577.0,401201.0,41.706,6.8378004,162.2364001
190521.1,401629.0,41.097,6.8451000,162.2355007
190458.8,402127.4,42.042,6.8536000,162.2345008
190402.8,402555.4,40.834,6.8608997,162.2335998
190346.9,402983.4,41.820,6.8681993,162.2327005
190278.7,403481.8,41.814,6.8767001,162.2316007
190222.7,403909.8,39.733,6.8839998,162.2306997
190172.7,404337.9,39.235,6.8913005,162.2299006
184657.2,446674.5,38.918,7.6134003,162.1412996
184601.2,447102.5,35.028,7.6207008,162.1404008
184545.0,447536.3,34.207,7.6281000,162.1394994
184482.6,448034.7,32.649,7.6366009,162.1385006
184426.5,448462.6,33.382,7.6438997,162.1376002
184358.1,448960.9,34.312,7.6523996,162.1364995
184302.0,449388.9,34.406,7.6597001,162.1355991
184246.0,449816.9,33.335,7.6670006,162.1347005
184183.5,450315.2,32.940,7.6754998,162.1337001
184127.4,450743.2,32.126,7.6828003,162.1327998
184071.3,451171.2,31.552,7.6901008,162.1318996
184002.9,451675.3,32.012,7.6986996,162.1307997
183952.7,452103.3,31.921,7.7059994,162.1299997
183884.3,452601.6,33.234,7.7144994,162.1288992
183828.3,453029.6,32.498,7.7217999,162.1280007
183772.2,453457.6,31.692,7.7291004,162.1271005
183709.7,453955.9,31.313,7.7375998,162.1261004
