id,line_id,point_id,RMSh,RMSs,pc,pc_pn,pn,Elevation,D_m,D_km,lat,lon,Sub1_Thickness,depth
67,0,67,1.67891705,0.877707124,67.28397369,-0.369601041,67.65357208,-2566,32886.70695,32.887,9.011913,155.335375,,
68,0,68,1.67891705,0.877707124,67.28397369,-0.369601041,67.65357208,-2562,33313.60167,33.314,9.0041,155.335375,,
69,0,69,1.698155403,0.932427764,67.03831482,-0.673987091,67.71230316,-2566,33905.8574,33.906,8.996287,155.343187,,
70,0,70,1.698155403,0.932427764,67.03831482,-0.673987091,67.71230316,-2566,34332.75402,34.333,8.988475,155.343187,,
71,0,71,1.698155403,0.932427764,67.03831482,-0.673987091,67.71230316,-2572,34759.65142,34.76,8.980662,155.343187,,
72,0,72,1.698155403,0.932427764,67.03831482,-0.673987091,67.71230316,-2575,35351.91087,35.352,8.972849,155.351,,
73,0,73,1.698155403,0.932427764,67.03831482,-0.673987091,67.71230316,-2578,35778.81015,35.779,8.965037,155.351,,
74,0,74,1.698155403,0.932427764,67.03831482,-0.673987091,67.71230316,-2586,36371.07221,36.371,8.957224,155.358813,,
75,0,75,1.698155403,0.932427764,67.03831482,-0.673987091,67.71230316,-2592,36797.97338,36.798,8.949411,155.358813,,
76,0,76,1.698155403,0.932427764,67.03831482,-0.673987091,67.71230316,-2598,37224.87534,37.225,8.941599,155.358813,,
77,0,77,1.698155403,0.932427764,67.03831482,-0.673987091,67.71230316,-2610,37817.14109,37.817,8.933786,155.366625,,
78,0,78,1.703471661,1.003679037,66.95877075,-0.495199978,67.45397186,-2616,38244.04492,38.244,8.925973,155.366625,,
79,0,79,1.703471661,1.003679037,66.95877075,-0.495199978,67.45397186,-2620,38836.31328,38.836,8.918161,155.374438,,
80,0,80,1.703471661,1.003679037,66.95877075,-0.495199978,67.45397186,-2628,39263.21898,39.263,8.910348,155.374438,,
81,0,81,1.703471661,1.003679037,66.95877075,-0.495199978,67.45397186,-2632,39690.12547,39.69,8.902535,155.374438,,
82,0,82,1.703471661,1.003679037,66.95877075,-0.495199978,67.45397186,-2635,40282.39751,40.282,8.894723,155.382251,,
83,0,83,1.703471661,1.003679037,66.95877075,-0.495199978,67.45397186,-2636,40709.30586,40.709,8.88691,155.382251,,
84,0,84,1.703471661,1.003679037,66.95877075,-0.495199978,67.45397186,-2636,41301.58049,41.302,8.879097,155.390063,,
85,0,85,1.703471661,1.003679037,66.95877075,-0.495199978,67.45397186,-2636,41728.49071,41.728,8.871285,155.390063,,
86,0,86,1.703471661,1.003679037,66.95877075,-0.495199978,67.45397186,-2636,42155.40171,42.155,8.863472,155.390063,,
87,0,87,1.703471661,1.003679037,66.95877075,-0.495199978,67.45397186,-2636,42747.68,42.748,8.855659,155.397876,,
88,0,88,1.703471661,1.003679037,66.95877075,-0.495199978,67.45397186,-2636,43174.59286,43.175,8.847847,155.397876,,
89,0,89,1.703471661,1.003679037,66.95877075,-0.495199978,67.45397186,-2635,43601.50649,43.602,8.840034,155.397876,,
90,0,90,1.703471661,1.003679037,66.95877075,-0.495199978,67.45397186,-2635,44193.78844,44.194,8.832221,155.405689,,
91,0,91,1.703471661,1.003679037,66.95877075,-0.495199978,67.45397186,-2634,44620.70393,44.621,8.824409,155.405689,,
92,0,92,1.698421836,1.070922852,66.98719788,-0.101999886,67.08920288,-2633,45212.98845,45.213,8.816596,155.413501,,
93,0,93,1.698421836,1.070922852,66.98719788,-0.101999886,67.08920288,-2631,45639.90579,45.64,8.808783,155.413501,,
94,0,94,1.698421836,1.070922852,66.98719788,-0.101999886,67.08920288,-2628,46066.82391,46.067,8.800971,155.413501,,
95,0,95,1.698421836,1.070922852,66.98719788,-0.101999886,67.08920288,-2624,46659.11207,46.659,8.793158,155.421314,,
96,0,96,1.698421836,1.070922852,66.98719788,-0.101999886,67.08920288,-2619,47086.03203,47.086,8.785345,155.421314,,
97,0,97,1.698421836,1.070922852,66.98719788,-0.101999886,67.08920288,-2620,47678.32275,47.678,8.777533,155.429127,,
98,0,98,1.698421836,1.070922852,66.98719788,-0.101999886,67.08920288,-2599,48105.24455,48.105,8.76972,155.429127,,
99,0,99,1.698421836,1.070922852,66.98719788,-0.101999886,67.08920288,-2583,48532.16713,48.532,8.761907,155.429127,,
100,0,100,1.698421836,1.070922852,66.98719788,-0.101999886,67.08920288,-2562,49124.46147,49.124,8.754095,155.436939,,
101,0,101,1.698421836,1.070922852,66.98719788,-0.101999886,67.08920288,-2558,49551.38589,49.551,8.746282,155.436939,,
102,0,102,1.698421836,1.070922852,66.98719788,-0.101999886,67.08920288,-2553,49978.31107,49.978,8.738469,155.436939,,
103,0,103,1.698421836,1.070922852,66.98719788,-0.101999886,67.08920288,-2544,50570.60902,50.571,8.730657,155.444752,,
104,0,104,1.698421836,1.070922852,66.98719788,-0.101999886,67.08920288,-2536,50997.53604,50.998,8.722844,155.444752,,
105,0,105,1.698421836,1.070922852,66.98719788,-0.101999886,67.08920288,-2534,51589.83654,51.59,8.715031,155.452565,,
106,0,106,1.698421836,1.070922852,66.98719788,-0.101999886,67.08920288,-2534,52016.76539,52.017,8.707219,155.452565,,
107,0,107,1.738449931,1.171466947,66.56278229,-0.036269937,66.59905243,-2535,52443.695,52.444,8.699406,155.452565,,
108,0,108,1.73765409,1.1622051,66.58739471,0.074121736,66.51327515,-2535,53035.99909,53.036,8.691593,155.460377,,
109,0,109,1.73765409,1.1622051,66.58739471,0.074121736,66.51327515,-2535,53462.93053,53.463,8.683781,155.460377,,
110,0,110,1.73765409,1.1622051,66.58739471,0.074121736,66.51327515,-2536,54055.23715,54.055,8.675968,155.46819,,
111,0,111,1.73765409,1.1622051,66.58739471,0.074121736,66.51327515,-2535,54482.17042,54.482,8.668155,155.46819,,
112,0,112,1.73765409,1.1622051,66.58739471,0.074121736,66.51327515,-2533,54909.10444,54.909,8.660343,155.46819,,
113,0,113,1.73765409,1.1622051,66.58739471,0.074121736,66.51327515,-2532,55501.41464,55.501,8.65253,155.476003,,
114,0,114,1.73765409,1.1622051,66.58739471,0.074121736,66.51327515,-2527,55928.35048,55.928,8.644717,155.476003,,
115,0,115,1.73765409,1.1622051,66.58739471,0.074121736,66.51327515,-2527,56520.6632,56.521,8.636905,155.483815,,
116,0,116,1.73765409,1.1622051,66.58739471,0.074121736,66.51327515,-2522,56947.60086,56.948,8.629092,155.483815,,
117,0,117,1.73765409,1.1622051,66.58739471,0.074121736,66.51327515,-2526,57374.53927,57.375,8.621279,155.483815,,
118,0,118,1.73765409,1.1622051,66.58739471,0.074121736,66.51327515,-2543,57966.85556,57.967,8.613467,155.491628,,
119,0,119,1.73765409,1.1622051,66.58739471,0.074121736,66.51327515,-2550,58393.79578,58.394,8.605654,155.491628,,
120,0,120,1.73765409,1.1622051,66.58739471,0.074121736,66.51327515,-2560,58820.73676,58.821,8.597841,155.491628,,
121,0,121,1.73765409,1.1622051,66.58739471,0.074121736,66.51327515,-2574,59413.0566,59.413,8.590029,155.499441,,
122,0,122,1.793684363,1.351693153,66.01859283,0.539022386,65.47957611,-2591,59839.99938,59.84,8.582216,155.499441,,
123,0,123,1.793684363,1.351693153,66.01859283,0.539022386,65.47957611,-2598,60432.32172,60.432,8.574403,155.507253,,
124,0,124,1.793684363,1.351693153,66.01859283,0.539022386,65.47957611,-2598,60859.2663,60.859,8.566591,155.507253,,
125,0,125,1.793684363,1.351693153,66.01859283,0.539022386,65.47957611,-2602,61286.21164,61.286,8.558778,155.507253,,
126,0,126,1.793684363,1.351693153,66.01859283,0.539022386,65.47957611,-2601,61878.53752,61.879,8.550965,155.515066,,
127,0,127,1.793684363,1.351693153,66.01859283,0.539022386,65.47957611,-2604,62305.48465,62.305,8.543153,155.515066,,
128,0,128,1.793684363,1.351693153,66.01859283,0.539022386,65.47957611,-2603,62897.81302,62.898,8.53534,155.522879,,
129,0,129,1.793684363,1.351693153,66.01859283,0.539022386,65.47957611,-2606,63324.76195,63.325,8.527527,155.522879,,
130,0,130,1.793684363,1.351693153,66.01859283,0.539022386,65.47957611,-2609,63751.71162,63.752,8.519715,155.522879,,
131,0,131,1.793684363,1.351693153,66.01859283,0.539022386,65.47957611,-2612,64344.04351,64.344,8.511902,155.530691,,
132,0,132,1.793684363,1.351693153,66.01859283,0.539022386,65.47957611,-2617,64770.99497,64.771,8.504089,155.530691,,
133,0,133,1.793684363,1.351693153,66.01859283,0.539022386,65.47957611,-2617,65363.32935,65.363,8.496277,155.538504,,
134,0,134,1.793684363,1.351693153,66.01859283,0.539022386,65.47957611,-2614,65790.28259,65.79,8.488464,155.538504,,
135,0,135,1.793684363,1.351693153,66.01859283,0.539022386,65.47957611,-2616,66217.23658,66.217,8.480651,155.538504,,
136,0,136,1.793684363,1.351693153,66.01859283,0.539022386,65.47957611,-2613,66809.57446,66.81,8.472839,155.546317,,
137,0,137,1.860246658,1.52734375,65.37507629,0.860722601,64.51435089,-2610,67236.53023,67.237,8.465026,155.546317,,
138,0,138,1.860246658,1.52734375,65.37507629,0.860722601,64.51435089,-2606,67663.48674,67.663,8.457213,155.546317,,
139,0,139,1.860246658,1.52734375,65.37507629,0.860722601,64.51435089,-2599,68255.82812,68.256,8.449401,155.554129,,
140,0,140,1.860246658,1.52734375,65.37507629,0.860722601,64.51435089,-2600,68682.78641,68.683,8.441588,155.554129,,
141,0,141,1.860246658,1.52734375,65.37507629,0.860722601,64.51435089,-2613,69275.13024,69.275,8.433775,155.561942,,
142,0,142,1.860246658,1.52734375,65.37507629,0.860722601,64.51435089,-2616,69702.0903,69.702,8.425963,155.561942,,
143,0,143,1.860246658,1.52734375,65.37507629,0.860722601,64.51435089,-2617,70129.0511,70.129,8.41815,155.561942,,
144,0,144,1.860246658,1.52734375,65.37507629,0.860722601,64.51435089,-2616,70721.39842,70.721,8.410337,155.569755,,
