id,point_id,Elevation,dist_m,dist_km,Sub_1_Thic,Depth,RMSh
1746,1746,-2800,868550.3943,868.5503943,28.51,-2828.51,1.153294444
1747,1747,-2801,869189.3595,869.1893595,29.715,-2830.715,1.153294444
1748,1748,-2801,869828.3294,869.8283294,29.233,-2830.233,1.153294444
1749,1749,-2801,870207.9793,870.2079793,29.233,-2830.233,1.153294444
1750,1750,-2801,870846.9567,870.8469567,28.894,-2829.894,1.153294444
1751,1751,-2802,871485.9386,871.4859386,26.621,-2828.621,1.153294444
1752,1752,-2802,871865.5957,871.8655957,26.621,-2828.621,1.153294444
1753,1753,-2802,872504.5851,872.5045851,26.186,-2828.186,1.153294444
1754,1754,-2802,873143.5792,873.1435792,,,1.153294444
1755,1755,-2802,873523.2434,873.5232434,,,1.153294444
1756,1756,-2803,874162.2448,874.1622448,35.979,-2838.979,0.900571644
1757,1757,-2803,874801.2509,874.8012509,35.979,-2838.979,0.900571644
1758,1758,-2803,875180.9223,875.1809223,35.979,-2838.979,0.900571644
1759,1759,-2804,875819.9357,875.8199357,35.979,-2839.979,1.406737924
1760,1760,-2804,876458.9538,876.4589538,35.979,-2839.979,1.406737924
1761,1761,-2803,876838.6323,876.8386323,35.979,-2838.979,1.406737924
1762,1762,-2804,877477.6577,877.4776577,35.979,-2839.979,1.406737924
1763,1763,-2804,878116.6877,878.1166877,38.661,-2842.661,1.406737924
1764,1764,-2806,878755.7223,878.7557223,35.542,-2841.542,1.406737924
1765,1765,-2806,879135.4106,879.1354106,35.542,-2841.542,1.406737924
1766,1766,-2808,879774.4526,879.7744526,35.201,-2843.201,1.406737924
1767,1767,-2809,880413.4991,880.4134991,35.739,-2844.739,1.406737924
1768,1768,-2809,880793.1945,880.7931945,35.201,-2844.201,1.406737924
1769,1769,-2809,881432.2483,881.4322483,35.739,-2844.739,1.406737924
1770,1770,-2809,882071.3067,882.0713067,,,1.406737924
1771,1771,-2809,882451.0092,882.4510092,,,1.095592737
1772,1772,-2811,883090.0749,883.0900749,,,1.095592737
1773,1773,-2811,883729.1451,883.7291451,22.302,-2833.302,1.095592737
1774,1774,-2811,884108.8546,884.1088546,22.302,-2833.302,1.095592737
1775,1775,-2812,884747.9321,884.7479321,23.423,-2835.423,1.718181252
1776,1776,-2812,885387.0142,885.3870142,27.33,-2839.33,1.718181252
