id,Elevation,dist_m,dist_km,RMSh,RMSs,pc_pn,pc,pn
122,-2591,59839,59.839,1.793684363,1.351693153,0.539022386,66.01859283,65.47957611
123,-2598,60432,60.432,1.793684363,1.351693153,0.539022386,66.01859283,65.47957611
124,-2598,60859,60.859,1.793684363,1.351693153,0.539022386,66.01859283,65.47957611
125,-2602,61286,61.286,1.793684363,1.351693153,0.539022386,66.01859283,65.47957611
126,-2601,61878,61.878,1.793684363,1.351693153,0.539022386,66.01859283,65.47957611
127,-2604,62305,62.305,1.793684363,1.351693153,0.539022386,66.01859283,65.47957611
128,-2603,62897,62.897,1.793684363,1.351693153,0.539022386,66.01859283,65.47957611
129,-2606,63324,63.324,1.793684363,1.351693153,0.539022386,66.01859283,65.47957611
130,-2609,63751,63.751,1.793684363,1.351693153,0.539022386,66.01859283,65.47957611
131,-2612,64344,64.344,1.793684363,1.351693153,0.539022386,66.01859283,65.47957611
132,-2617,64770,64.77,1.793684363,1.351693153,0.539022386,66.01859283,65.47957611
133,-2617,65363,65.363,1.793684363,1.351693153,0.539022386,66.01859283,65.47957611
134,-2614,65790,65.79,1.793684363,1.351693153,0.539022386,66.01859283,65.47957611
135,-2616,66217,66.217,1.793684363,1.351693153,0.539022386,66.01859283,65.47957611
136,-2613,66809,66.809,1.793684363,1.351693153,0.539022386,66.01859283,65.47957611
137,-2610,67236,67.236,1.860246658,1.52734375,0.860722601,65.37507629,64.51435089
138,-2606,67663,67.663,1.860246658,1.52734375,0.860722601,65.37507629,64.51435089
139,-2599,68255,68.255,1.860246658,1.52734375,0.860722601,65.37507629,64.51435089
140,-2600,68682,68.682,1.860246658,1.52734375,0.860722601,65.37507629,64.51435089
141,-2613,69275,69.275,1.860246658,1.52734375,0.860722601,65.37507629,64.51435089
142,-2616,69702,69.702,1.860246658,1.52734375,0.860722601,65.37507629,64.51435089
143,-2617,70129,70.129,1.860246658,1.52734375,0.860722601,65.37507629,64.51435089
144,-2616,70721,70.721,1.860246658,1.52734375,0.860722601,65.37507629,64.51435089
145,-2617,71148,71.148,1.860246658,1.52734375,0.860722601,65.37507629,64.51435089
146,-2617,71740,71.74,1.82422471,1.488110781,1.200154901,65.72580719,64.52565765
147,-2618,72167,72.167,1.82422471,1.488110781,1.200154901,65.72580719,64.52565765
148,-2619,72594,72.594,1.82422471,1.488110781,1.200154901,65.72580719,64.52565765
149,-2619,73186,73.186,1.82422471,1.488110781,1.200154901,65.72580719,64.52565765
150,-2619,73613,73.613,1.82422471,1.488110781,1.200154901,65.72580719,64.52565765
151,-2619,74040,74.04,1.82422471,1.488110781,1.200154901,65.72580719,64.52565765
152,-2618,74633,74.633,1.796698093,1.43982625,1.207633853,65.95078278,64.7431488
153,-2617,75060,75.06,1.796698093,1.43982625,1.207633853,65.95078278,64.7431488
154,-2616,75652,75.652,1.796698093,1.43982625,1.207633853,65.95078278,64.7431488
155,-2616,76079,76.079,1.796698093,1.43982625,1.207633853,65.95078278,64.7431488
156,-2616,76506,76.506,1.796698093,1.43982625,1.207633853,65.95078278,64.7431488
157,-2617,77098,77.098,1.796698093,1.43982625,1.207633853,65.95078278,64.7431488
158,-2616,77525,77.525,1.796698093,1.43982625,1.207633853,65.95078278,64.7431488
